"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-01","2.5",,"0.0","0.0","0.0",,"0.6","-4.3",,"  280","  300","6.3","10.3",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-02","5.5",,"8.4","79.0","0.0",,"0.6","-7.7",,"   50","   50","9.4","12.5",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-03","4.7",,"7.4","84.0","150.0",,"-7.7","-12.7",,"  360","  310","9.4","13.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-04","2.2",,"0.0","0.0","150.0",,"-1.6","-13.2",,"  260","  240","4.0","8.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-05","1.7",,"3.6","0.0","100.0",,"4.4","-2.7",,"   70","  240","3.1","7.6",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-06","3.8",,"9.1","0.0","30.0",,"12.8","-7.1",,"  290","  300","8.1","13.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-07","5.9",,"0.0","0.0","0.0",,"-7.1","-15.5",,"  280","  270","10.3","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-08","3.2",,"0.0","0.0","0.0",,"-5.5","-12.7",,"  290","  290","6.7","10.3",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-09","1.3",,"0.0","0.0","0.0",,"0.0","-5.5",,"  350","  320","5.4","7.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-10","1.5",,"2.8","0.0","0.0",,"2.8","-1.0",,"   50","  160","3.6","4.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-11","3.2",,"12.7","0.0","0.0",,"14.4","2.8",,"  180","  170","7.6","12.5","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-12","3.7",,"1.3","0.0","0.0",,"12.2","3.3",,"  290","  290","8.9","13.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-13","2.3",,"0.0","0.0","0.0",,"10.6","2.8",,"  180","  170","6.3","10.7",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-14","2.2",,"9.7","0.0","0.0",,"11.1","6.7",,"  230","  250","5.8","9.8","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-15","1.3",,"0.0","0.0","0.0",,"8.3","3.9",,"  160","  190","5.4","7.6",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-16","1.8",,"0.0","0.0","0.0",,"5.6","2.2",,"   10","   50","4.5","6.3",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-17","1.6",,"0.0","0.0","0.0",,"6.7","0.6",,"  170","  180","5.4","8.5",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-18","3.2",,"1.8","0.0","0.0",,"5.0","-1.6",,"  290","  300","6.7","11.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-19","3.3",,"0.0","0.0","0.0",,"3.3","-4.3",,"  260","  250","9.4","15.2",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-20","3.3",,"0.0","0.0","0.0",,"7.8","-0.5",,"  270","  280","7.6","13.4",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-21","4.7",,"11.7","279.0","0.0",,"-0.5","-11.6",,"   30","   40","8.9","13.4",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-22","3.9",,"0.5","13.0","280.0",,"-8.2","-14.9",,"  360","  350","9.8","13.4",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-23","3.2",,"0.0","0.0","180.0",,"-6.6","-13.8",,"  290","  280","7.2","11.6",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-24","3.6",,"0.0","0.0","150.0",,"-6.6","-12.1",,"  250","  240","7.6","13.4",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01-25","3.4",,"1.0","25.0","100.0",,"-2.1","-7.1",,"  230","  240","7.6","13.4",,,,,
